001 歷史通俗演義-民國 5020 第一回 　　揭大綱全書開始　乘巨變故老重來
082 歷史通俗演義-民國 5101 第八十二回 　　托公民搗亂眾議院　請改制嘩聚督軍團
083 歷史通俗演義-民國 5102 第八十三回 　　應電召辮帥作調人　撤國會軍官甘副署
084 歷史通俗演義-民國 5103 第八十四回 　　偕老友帶兵入京　叩故宮夤夜復辟
085 歷史通俗演義-民國 5104 第八十五回 　　梁鼎芬造府為說客　黎元洪假館作寓公
086 歷史通俗演義-民國 5105 第八十六回 　　誓馬廠受推總司令　戰廊房擊退辮子軍
087 歷史通俗演義-民國 5106 第八十七回 　　張大帥狂奔外使館　段總理重組國務員
088 歷史通俗演義-民國 5107 第八十八回 　　代總統啟節入都　投照會決謀宣戰
089 歷史通俗演義-民國 5108 第八十九回 　　籌軍餉借資東國　遣師旅出擊南湘
090 歷史通俗演義-民國 5109 第九十回 　　傅良佐棄城避敵　段祺瑞卸職出都
091 歷史通俗演義-民國 5110 第九十一回 　　會津門嘩傳主戰聲　阻蚌埠折回總統駕
092 歷史通俗演義-民國 5111 第九十二回 　　遣軍隊馮河間宣戰　劫兵械徐樹錚逞謀
093 歷史通俗演義-民國 5112 第九十三回 　　下岳州前軍克敵　復長沙迭次奏功
094 歷史通俗演義-民國 5113 第九十四回 　　為虎作倀再借外債　困龍失勢自乞內援
095 歷史通俗演義-民國 5114 第九十五回 　　聞俄亂籌備國防　集日員會商軍約
096 歷史通俗演義-民國 5115 第九十六回 　　任大使專工取媚　訂合同屢次貸金
097 歷史通俗演義-民國 5116 第九十七回 　　逞辣手擅斃陸建章　頒電文隱斥段祺瑞
098 歷史通俗演義-民國 5117 第九十八回 　　舉總統徐東海當選　申別言馮河間下台
099 歷史通俗演義-民國 5118 第九十九回 　　應首選發表宣言書　借外債勸告軍政府
100 歷史通俗演義-民國 5119 第一○○回 　　呼奧援南北謀統一　慶戰勝中外並臚歡
101 歷史通俗演義-民國 5120 第一○一回 　　集靈囿再開會議　上海灘悉毀存煙
102 歷史通俗演義-民國 5121 第一○二回 　　贊和局李督軍致疾　示戰電唐代表生瞋
103 歷史通俗演義-民國 5122 第一○三回 　　集巴黎欣逢盛會　爭膠澳勉抗強權
104 歷史通俗演義-民國 5123 第一○四回 　　兩代表滬瀆續議　眾學生都下爭嘩
105 歷史通俗演義-民國 5124 第一○五回 　　遭旁毆章宗祥受傷　逾後垣曹汝霖奔命
106 歷史通俗演義-民國 5125 第一○六回 　　春申江激動諸團體　日本國毆辱留學生
107 歷史通俗演義-民國 5126 第一○七回 　　停會議拒絕苛條　徇外情頒行禁令
108 歷史通俗演義-民國 5127 第一○八回 　　迫公憤滬商全罷市　留總統國會卻咨文
109 歷史通俗演義-民國 5128 第一○九回 　　乘俄亂徐樹錚籌邊　拒德約陸徵祥通電
110 歷史通俗演義-民國 5129 第一一○回 　　罷參戰改設機關　撤自治收回藩屬
111 歷史通俗演義-民國 5130 第一一一回 　　易總理徐靳合謀　宴代表李王異議
112 歷史通俗演義-民國 5131 第一一二回 　　領事官袒凶調艦隊　特別區歸附進呈文
113 歷史通俗演義-民國 5132 第一一三回 　　對日使迭開交涉　為魯案公議復書
114 歷史通俗演義-民國 5133 第一一四回 　　挑滇釁南方分裂　得俄牒北府生疑
115 歷史通俗演義-民國 5134 第一一五回 　　張敬堯棄城褫職　吳佩孚臨席攄詞
116 歷史通俗演義-民國 5135 第一一六回 　　罷小徐直皖開戰釁　顧大局江浙慶和平
117 歷史通俗演義-民國 5136 第一一七回 　　吳司令計敗段芝貴　王督軍誘執吳光新
118 歷史通俗演義-民國 5137 第一一八回 　　鬧京畿兩路喪師　投使館九人避禍
119 歷史通俗演義-民國 5138 第一一九回 　　日公使保留眾罪犯　靳總理會敘兩親翁
120 歷史通俗演義-民國 5139 第一二○回 　　廢舊約收回俄租界　拚餘生驚逝李督軍
121 歷史通俗演義-民國 5140 第一二一回 　　月色昏黃秀山戕命　牌聲歷碌撫萬運籌
122 歷史通俗演義-民國 5141 第一二二回 　　真開心幫辦扶正　假護法軍府倒楣
123 歷史通俗演義-民國 5142 第一二三回 　　莫榮新養癰遺患　陳炯明負義忘恩
124 歷史通俗演義-民國 5143 第一二四回 　　疑案重重督軍自戕　積金累累巡閱殃民
125 歷史通俗演義-民國 5144 第一二五回 　　趙炎午起兵援鄂　梁任公馳函勸吳
126 歷史通俗演義-民國 5145 第一二六回 　　取岳州吳趙鏖兵　演會戲陸曹爭豔
127 歷史通俗演義-民國 5146 第一二七回 　　醋海多波大員曳尾　花魁獨佔小吏出頭
128 歷史通俗演義-民國 5147 第一二八回 　　澡吏廚官仕途生色　葉虎梁燕交繫弄權
129 歷史通俗演義-民國 5148 第一二九回 　　爭魯案外交失敗　攻梁閣內哄開場
130 歷史通俗演義-民國 5149 第一三○回 　　強調停弟兄翻臉　爭權利姻婭失歡
131 歷史通俗演義-民國 5150 第一三一回 　　啟爭端兵車絡繹　肆辯論函電交馳
132 歷史通俗演義-民國 5151 第一三二回 　　警告頻施使團作對　空言無補總統為難
133 歷史通俗演義-民國 5152 第一三三回 　　唱凱旋終息戰禍　說法統又起政潮
134 歷史通俗演義-民國 5153 第一三四回 　　徐東海被迫下野　黎黃陂受擁上台
135 歷史通俗演義-民國 5154 第一三五回 　　受擁戴黎公復職　議撤兵張氏求和
136 歷史通俗演義-民國 5155 第一三六回 　　圍公府陳逆干紀　避軍艦總理蒙塵
137 歷史通俗演義-民國 5156 第一三七回 　　三軍艦背義離黃浦　陸戰隊附逆陷長洲
138 歷史通俗演義-民國 5157 第一三八回 　　離廣州乘桴論時務　到上海護法發宣言
139 歷史通俗演義-民國 5158 第一三九回 　　失名城楊師戰敗　興大獄羅氏蒙嫌
140 歷史通俗演義-民國 5159 第一四○回 　　朱培德羊城勝敵　許崇智福建鏖兵
141 歷史通俗演義-民國 5160 第一四一回 　　發宣言孫中山回粤　戰北江楊希閔奏功
142 歷史通俗演義-民國 5161 第一四二回 　　臧致平困守廈門　孫中山討伐東江
143 歷史通俗演義-民國 5162 第一四三回 　　戰博羅許崇智受困　截追騎范小泉建功
144 歷史通俗演義-民國 5163 第一四四回 　　昧先機津浦車遭劫　急兄仇抱犢崮被圍
145 歷史通俗演義-民國 5164 第一四五回 　　避追剿肉票受累　因外交官匪議和
146 歷史通俗演義-民國 5165 第一四六回 　　吳佩孚派兵入四川　熊克武馳軍襲大足
147 歷史通俗演義-民國 5166 第一四七回 　　楊春芳降敵陷瀘州　川黔軍力竭失重慶
148 歷史通俗演義-民國 5167 第一四八回 　　朱耀華乘虛襲長沙　魯滌平議和誅袁植
149 歷史通俗演義-民國 5168 第一四九回 　　救後路衡山失守　爭關餘外使驚惶
150 歷史通俗演義-民國 5169 第一五○回 　　發宣言改組國民黨　急北伐緩攻陳炯明
151 歷史通俗演義-民國 5170 第一五一回 　　下辣手車站劫印　講價錢國會爭風
152 歷史通俗演義-民國 5171 第一五二回 　　大打武議長爭總理　小報復政客失閣席
153 歷史通俗演義-民國 5172 第一五三回 　　宴中興孫美瑤授首　竄豫東老洋人伏誅
154 歷史通俗演義-民國 5173 第一五四回 　　養交涉遺誤佛郎案　巧解釋輕回戰將心
155 歷史通俗演義-民國 5174 第一五五回 　　識巧計劉湘告大捷　設陰謀孫督出奇兵
156 歷史通俗演義-民國 5175 第一五六回 　　失廈門臧楊敗北　進仙霞萬姓哀鳴
157 歷史通俗演義-民國 5176 第一五七回 　　受賄托倒戈賣省　結去思辭職安民
158 歷史通俗演義-民國 5177 第一五八回 　　假紀律浙民遭劫　真變化盧督下台
159 歷史通俗演義-民國 5178 第一五九回 　　石青陽團結西南　孫中山宣言北伐
160 歷史通俗演義-民國 5179 第一六○回 　　籌軍餉恢復捐官法　結內應端賴美人兵
