001 鏡花緣 3441 第一回 　　女魁星北斗垂景象　老王母西池賜芳筵
065 鏡花緣 3505 第六十五回 　　盼佳音虔心問卜　預盛典奉命掄才
066 鏡花緣 3506 第六十六回 　　借飛車國王訪儲子　放黃榜太后考閨才
067 鏡花緣 3507 第六十七回 　　小才女卞府謁師　老國舅黃門進表
068 鏡花緣 3508 第六十八回 　　受榮封三孤膺敕命　奉寵召眾美赴華筵
069 鏡花緣 3509 第六十九回 　　百花大聚宗伯府　眾美初臨晚芳園
070 鏡花緣 3510 第七十回 　　述奇形蠶繭當小帽　談異域酒罈作煙壺
071 鏡花緣 3511 第七十一回 　　觸舊事神往泣紅亭　聯新交情深凝翠館
072 鏡花緣 3512 第七十二回 　　古桐台五美撫瑤琴　白蒁亭八女寫春扇
073 鏡花緣 3513 第七十三回 　　看圍棋姚姝談弈譜　觀馬弔孟女講牌經
074 鏡花緣 3514 第七十四回 　　打雙陸嘉言述前賢　下象棋諧語談故事
075 鏡花緣 3515 第七十五回 　　弄新聲水榭吹蕭　隱俏體紗窗聽課
076 鏡花緣 3516 第七十六回 　　講六壬花前闡妙旨　觀四課牖下竊真傳
077 鏡花緣 3517 第七十七回 　　鬥百草全除舊套　對群花別出新裁
078 鏡花緣 3518 第七十八回 　　運巧思對酒縱諧談　飛舊句當筵行妙令
079 鏡花緣 3519 第七十九回 　　指迷團靈心講射　擅巧技妙算談天
080 鏡花緣 3520 第八十回 　　打燈虎亭中賭畫扇　拋氣球園內舞花鞋
081 鏡花緣 3521 第八十一回 　　白蒁亭董女談詩　凝翠館蘭姑設宴
082 鏡花緣 3522 第八十二回 　　行酒令書句飛雙聲　辯古文字音訛疊韻
083 鏡花緣 3523 第八十三回 　　說大書佐酒為歡　唱小曲飛觴作樂
084 鏡花緣 3524 第八十四回 　　逞豪興朗吟妙句　發婆心敬誦真經
085 鏡花緣 3525 第八十五回 　　論韻譜冷言譏沈約　引毛詩佳句美莊姜
086 鏡花緣 3526 第八十六回 　　念親情孝女揮淚眼　談本姓侍兒解人頤
087 鏡花緣 3527 第八十七回 　　因舊事遊戲倣楚詞　即美景詼諧編月令
088 鏡花緣 3528 第八十八回 　　借月旦月姊釋前嫌　逞風狂風姨泄舊忿
089 鏡花緣 3529 第八十九回 　　闡元機歷述新詩　溯舊跡質明往事
090 鏡花緣 3530 第九十回 　　乘酒意醉誦淒涼句　警芳心驚聞慘淡詞
091 鏡花緣 3531 第九十一回 　　折妙字換柱抽梁　掣牙籤指鹿為馬
092 鏡花緣 3532 第九十二回 　　論果蠃佳人施慧性　辯壺盧婢子具靈心
093 鏡花緣 3533 第九十三回 　　百花仙即景露禪機　眾才女盡歡結酒令
094 鏡花緣 3534 第九十四回 　　文豔王奉命回故里　女學士思親入仙山
095 鏡花緣 3535 第九十五回 　　因舊恙筵上談醫　結新交庭中舞劍
096 鏡花緣 3536 第九十六回 　　秉忠誠部下起雄兵　施邪術關前擺毒陣
097 鏡花緣 3537 第九十七回 　　仙姑山上指迷團　節度營中解妙旨
098 鏡花緣 3538 第九十八回 　　逞雄心挑戰無火關　啟慾念被圍巴刀陣
099 鏡花緣 3539 第九十九回 　　迷本性將軍游幻境　發慈心仙子下凡塵
100 鏡花緣 3540 第一○○回 　　建奇勛節度還朝　傳大寶中宗復位
