001 小八義 15562 第一回 　　汴梁城周家滿門被害　濟寧府公子隻身投親
031 小八義 15592 第三十一回 　　敗山賊阮英殺尼姑　久不至孔唐往接應
032 小八義 15593 第三十二回 　　唐鐵牛智殺梁滾　三弟兄齊進濟寧
033 小八義 15594 第三十三回 　　醉仙樓推杯換盞　鬧公堂詐銀三千
034 小八義 15595 第三十四回 　　阮英潛身入繡閣　猴子錯偷假秀英
035 小八義 15596 第三十五回 　　梁秀英潛出尋夫　眾弟兄往尋花容
036 小八義 15597 第三十六回 　　主僕失散秀英入山　伉儷緣分翠屏觀夫
037 小八義 15598 第三十七回 　　假郎君山寨娶妻　尋嬌娥探得賊山
038 小八義 15599 第三十八回 　　假扮新娘娶嬌娥　大哥成親弟上山
039 小八義 15600 第三十九回 　　多情女懷春羅帳　假新郎呆坐春宵
040 小八義 15601 第四十回 　　周景隆走散入山　東京城皇爺發兵
041 小八義 15602 第四十一回 　　官兵圍困杏花寨　夢熊率兵戰山前
042 小八義 15603 第四十二回 　　馬似龍戰敗負傷　鄭翠屏下山鬥敵
043 小八義 15604 第四十三回 　　山前鬥寶翠屏身亡　聖母施法徒弟回生
044 小八義 15605 第四十四回 　　火燒官兵鄭夢熊逃走　中途遇寇周景隆失散
045 小八義 15606 第四十五回 　　鄭夢熊投奔磨盤山　周景隆獨往蘇州城
046 小八義 15607 第四十六回 　　遇絕境梁秀英跳河　逢恩人女嬌娥認母
047 小八義 15608 第四十七回 　　不收銀京官保清正　尋景隆李公托姚順
048 小八義 15609 第四十八回 　　眾弟兄下山找景隆　梁秀英香前大許願
049 小八義 15610 第四十九回 　　梁秀英上廟還願　蔡衙內強搶佳人
050 小八義 15611 第五十回 　　李逢春蔡府尋女　狗蔡京惡語擋人
051 小八義 15612 第五十一回 　　告狀不贏反遭賊害　逼奸未遂一目被射
052 小八義 15613 第五十二回 　　阮英袖箭射蔡猛　蔡京憐子請銅頭
053 小八義 15614 第五十三回 　　鬥妖僧阮英戰敗　貞節女大罵蔡京
054 小八義 15615 第五十四回 　　阮英救出梁秀英　雲平又救小阮英
055 小八義 15616 第五十五回 　　花雲平引見滾地雷　葛家莊阮英來借劍
056 小八義 15617 第五十六回 　　為供寶劍賭輸贏　阮英初盜透龍劍
057 小八義 15618 第五十七回 　　阮英苦思盜劍計　葛昆睽睽守劍嚴
058 小八義 15619 第五十八回 　　弄巧成拙盜劍不成　賣弄機巧反遭傷害
059 小八義 15620 第五十九回 　　尖刀刺牛施妙計　葛昆離位失假劍
060 小八義 15621 第六十回 　　二弟兄汴梁歡飲　小阮英再盜寶劍
061 小八義 15622 第六十一回 　　二盜假劍阮英心羞慚　為盜真劍三進葛家莊
062 小八義 15623 第六十二回 　　葛昆遇知己洩露真言　阮英池中盜得透龍劍
063 小八義 15624 第六十三回 　　避法冠下時長青接劍　阮英尋劍來至金家灘
064 小八義 15625 第六十四回 　　阮英盜贓銀貪心不已　金亨起歹心鎖他櫃中
065 小八義 15626 第六十五回 　　孫氏罵金亨傷天害理　雲平欲搬兵救回阮英
066 小八義 15627 第六十六回 　　金亨羞愧無地自容　忽聞異聲心中發驚
067 小八義 15628 第六十七回 　　冤魂索命嚇壞金亨　遺言教子切把善行
068 小八義 15629 第六十八回 　　阮英裝鬼死裡逃生　謊稱巧藝矇騙金亨
069 小八義 15630 第六十九回 　　設巧計嚴懲金亨　害人者自得報應
070 小八義 15631 第七十回 　　長青文魁炫耀寶貝　燈下飲酒各懷鬼胎
071 小八義 15632 第七十一回 　　長青一覺失了算　丟了透龍避法冠
072 小八義 15633 第七十二回 　　時阮見面險些翻臉　提起先人頓換笑顏
073 小八義 15634 第七十三回 　　金貴挺身異國尋寶　阮英路遇囚中鐵牛
074 小八義 15635 第七十四回 　　鐵牛遇不平為人解難　痛打王管家初顯威風
075 小八義 15636 第七十五回 　　於信奪人妻逞霸道　鐵牛仗義大打出手
076 小八義 15637 第七十六回 　　張教習丟臉欲搬救兵　於信死去全家放悲聲
077 小八義 15638 第七十七回 　　唐鐵牛救人救到底　降龍伏虎再顯神威
078 小八義 15639 第七十八回 　　鐵牛戰群惡棒下無情　於智趕往兵營求救兵
079 小八義 15640 第七十九回 　　吳斌欲放鐵牛不走　好漢被捉進了囚籠
080 小八義 15641 第八十回 　　英雄救唐奇得手　鬆林中密謀造反
081 小八義 15642 第八十一回 　　吳帥辦文案稟報奸相　英雄夜入府篡改稟文
082 小八義 15643 第八十二回 　　阮英與弟兄回鐵龍　眾英雄計議救鐵牛
083 小八義 15644 第八十三回 　　為救鐵牛寨主決策　群英計議率兵下山
084 小八義 15645 第八十四回 　　群英率兵直奔藏兵營　聲聲叫陣定要決雌雄
085 小八義 15646 第八十五回 　　尉遲奮勇旗開得勝　群英慶功防敵偷營
086 小八義 15647 第八十六回 　　官軍偷營損兵折將　吳斌無奈急報汴梁
087 小八義 15648 第八十七回 　　妖僧助官軍施法寶　尉遲肖遭神珠落馬
088 小八義 15649 第八十八回 　　孔生上陣與妖僧拼命　妖僧施法寶再顯淫威
089 小八義 15650 第八十九回 　　孔氏上陣皆遭毒手　阮英文戰智擒妖僧
090 小八義 15651 第九十回 　　妖僧遁逃阮英請金定　佳人施神丹救人活命
091 小八義 15652 第九十一回 　　金定飛刀敗銅頭僧　妖人拜請金封長老
092 小八義 15653 第九十二回 　　金封巧布八卦陣　金定追敵把陣觀
093 小八義 15654 第九十三回 　　金定細話破陣之難　翠屏奉命攜寶下山
094 小八義 15655 第九十四回 　　鄭氏姐弟相逢話別情　率兵下山金定喜相迎
095 小八義 15656 第九十五回 　　八卦陣變化困佳人　金貴及時攜寶入陣
096 小八義 15657 第九十六回 　　金貴紅毛國裝太子　矇騙公主智盜三寶
097 小八義 15658 第九十七回 　　盜來三寶急入陣中　借助神威救助英雄
098 小八義 15659 第九十八回 　　透龍斬妖敵陣自破　吳帥敗逃鐵牛解脫
099 小八義 15660 第九十九回 　　捉拿於氏父子各逞強　解救被搶婦女回故鄉
100 小八義 15661 第一○○回 　　於氏父子作惡遭報應　眾英雄除奸邪傳美名
101 小八義 15662 第一○一回 　　景隆途中住店遭殃　姐弟尋公子險上當
102 小八義 15663 第一○二回 　　阮英自天降懲罰賊人　景隆翠屏久別又相逢
103 小八義 15664 第一○三回 　　鄭氏姐弟相護送　景龍進京見李公
104 小八義 15665 第一○四回 　　秀英翠屏敘別情　團聚喜賀慶
105 小八義 15666 第一○五回 　　景隆高中親友歡躍　蔡京終把冤報
